"Date","Open","High","Low","Close","Volume"
"03/01/2024","200.52","204.52","198.5","202.64","82,243,120"
"02/29/2024","204.18","205.28","198.4463","201.88","85,906,970"
"02/28/2024","200.42","205.3","198.44","202.04","99,806,170"
"02/27/2024","204.04","205.6","198.26","199.73","108,645,400"
"02/26/2024","192.29","201.78","192","199.4","111,747,100"
"02/23/2024","195.31","197.57","191.5","191.97","78,841,920"
"02/22/2024","194","198.32","191.36","197.41","92,739,460"
"02/21/2024","193.36","199.44","191.95","194.77","103,844,000"
"02/20/2024","196.13","198.6","189.13","193.76","104,545,800"
"02/16/2024","202.06","203.17","197.4","199.95","111,346,700"
"02/15/2024","189.16","200.88","188.8595","200.45","120,831,800"
"02/14/2024","185.3","188.89","183.35","188.71","81,202,990"
"02/13/2024","183.99","187.26","182.1087","184.02","86,759,480"
"02/12/2024","192.11","194.73","187.28","188.13","95,498,600"
"02/09/2024","190.18","194.12","189.48","193.57","84,476,350"
"02/08/2024","189","191.6171","185.58","189.56","83,034,040"
"02/07/2024","188.18","189.79","182.68","187.58","111,535,200"
"02/06/2024","177.21","186.49","177.11","185.1","122,676,000"
"02/05/2024","184.26","184.68","175.01","181.06","134,294,400"
"02/02/2024","185.04","188.69","182","187.91","110,612,700"
"02/01/2024","188.5","189.88","184.28","188.86","91,843,280"
"01/31/2024","186.995","193.97","185.8459","187.29","103,221,400"
"01/30/2024","195.33","196.3593","190.61","191.59","109,982,300"
"01/29/2024","185.63","191.48","183.67","190.93","125,013,100"
"01/26/2024","185.5","186.78","182.1","183.25","107,343,200"
"01/25/2024","189.7","193","180.06","182.63","198,076,800"
"01/24/2024","211.88","212.73","206.77","207.83","123,369,900"
"01/23/2024","211.3","215.65","207.7516","209.14","106,605,900"
"01/22/2024","212.26","217.8","206.27","208.8","117,952,500"
"01/19/2024","209.99","213.19","207.56","212.19","102,260,300"
"01/18/2024","216.88","217.45","208.74","211.88","108,595,400"
"01/17/2024","214.86","215.67","212.01","215.55","103,164,400"
"01/16/2024","215.1","223.49","212.18","219.91","115,355,000"
"01/12/2024","220.08","225.34","217.1501","218.89","123,043,800"
"01/11/2024","230.57","230.93","225.37","227.22","105,873,600"
"01/10/2024","235.1","235.5","231.29","233.94","91,628,500"
"01/09/2024","238.11","238.9646","232.04","234.96","96,705,660"
"01/08/2024","236.14","241.25","235.3","240.45","85,166,580"
"01/05/2024","236.86","240.1196","234.9001","237.49","92,488,940"
"01/04/2024","239.25","242.7","237.73","237.93","102,629,300"
"01/03/2024","244.98","245.68","236.32","238.45","121,082,600"
"01/02/2024","250.08","251.25","244.41","248.42","104,654,200"
"12/29/2023","255.1","255.19","247.43","248.48","100,891,600"
"12/28/2023","263.66","265.13","252.71","253.18","113,619,900"
"12/27/2023","258.35","263.34","257.52","261.44","106,494,400"
"12/26/2023","254.49","257.97","252.91","256.61","86,892,380"
"12/22/2023","256.76","258.22","251.37","252.54","93,370,090"
"12/21/2023","251.9","254.7999","248.55","254.5","109,594,200"
"12/20/2023","256.41","259.84","247","247.14","125,097,000"
"12/19/2023","253.48","258.3399","253.01","257.22","106,737,400"
"12/18/2023","253.78","258.74","251.36","252.08","116,416,500"
"12/15/2023","251.21","254.13","248.3","253.5","135,932,800"
"12/14/2023","241.22","253.88","240.79","251.05","160,829,200"
"12/13/2023","234.19","240.3","228.2","239.29","146,286,300"
"12/12/2023","238.55","238.99","233.87","237.01","95,328,310"
"12/11/2023","242.74","243.441","237.45","239.74","97,913,890"
"12/08/2023","240.27","245.27","239.2701","243.84","103,126,800"
"12/07/2023","241.55","244.08","236.98","242.64","107,142,300"
"12/06/2023","242.92","246.57","239.1709","239.37","126,436,200"
"12/05/2023","233.87","246.66","233.7","238.72","137,971,100"
"12/04/2023","235.75","239.3733","233.2902","235.58","104,099,800"
"12/01/2023","233.14","240.19","231.9","238.83","121,331,700"
"11/30/2023","245.14","245.22","236.91","240.08","132,353,200"
"11/29/2023","249.21","252.75","242.76","244.14","135,401,300"
"11/28/2023","236.68","247","234.01","246.72","148,549,900"
"11/27/2023","236.89","238.33","232.1","236.08","112,031,800"
"11/24/2023","233.75","238.75","232.33","235.45","65,125,200"
"11/22/2023","242.04","244.01","231.4","234.21","118,117,100"
"11/21/2023","235.04","243.62","233.34","241.2","122,288,000"
"11/20/2023","234.04","237.1","231.02","235.6","116,562,400"
"11/17/2023","232","237.39","226.54","234.3","142,766,200"
"11/16/2023","239.49","240.88","230.96","233.59","136,816,800"
"11/15/2023","239.29","246.7","236.45","242.84","150,354,000"
"11/14/2023","235.03","238.135","230.72","237.41","149,771,600"
"11/13/2023","215.6","225.4","211.6101","223.71","140,447,600"
"11/10/2023","210.03","215.38","205.69","214.65","131,310,100"
"11/09/2023","219.75","220.8","206.68","209.98","142,110,500"
"11/08/2023","223.15","224.15","217.64","222.11","106,584,800"
"11/07/2023","219.98","223.12","215.72","222.18","116,900,100"
"11/06/2023","223.98","226.32","215","219.27","117,335,800"
"11/03/2023","221.15","226.3701","218.4","219.96","119,534,800"
"11/02/2023","212.97","219.2","211.45","218.51","125,987,600"
"11/01/2023","204.04","205.99","197.85","205.66","121,661,700"
"10/31/2023","196.12","202.8","194.07","200.84","118,068,300"
"10/30/2023","209.28","210.88","194.67","197.36","136,448,200"
"10/27/2023","210.6","212.41","205.77","207.3","94,881,170"
"10/26/2023","211.32","214.8","204.88","205.76","115,112,600"
"10/25/2023","215.88","220.1","212.2","212.42","107,065,100"
"10/24/2023","216.5","222.05","214.11","216.52","118,231,100"
"10/23/2023","210","216.98","202.51","212.08","150,683,400"
"10/20/2023","217.01","218.8606","210.42","211.99","138,010,100"
"10/19/2023","225.95","230.61","216.78","220.11","170,772,700"
"10/18/2023","252.7","254.63","242.08","242.68","125,147,800"
"10/17/2023","250.1","257.183","247.08","254.85","93,562,910"
"10/16/2023","250.05","255.3999","248.48","253.92","88,917,180"
"10/13/2023","258.9","259.6","250.22","251.12","102,296,800"
"10/12/2023","262.92","265.41","256.6307","258.87","111,508,100"
"10/11/2023","266.2","268.6","260.9","262.99","103,706,300"
"10/10/2023","257.75","268.94","257.65","263.62","122,656,000"
"10/09/2023","255.31","261.36","252.05","259.67","101,377,900"
"10/06/2023","253.98","261.65","250.65","260.53","118,121,800"
"10/05/2023","260","263.6","256.25","260.05","119,159,200"
"10/04/2023","248.14","261.86","247.6","261.16","129,721,600"
"10/03/2023","248.61","250.02","244.45","246.53","101,985,300"
"10/02/2023","244.81","254.2799","242.62","251.6","123,810,400"
"09/29/2023","250","254.77","246.35","250.22","128,522,700"
"09/28/2023","240.02","247.55","238.65","246.38","117,058,900"
"09/27/2023","244.262","245.33","234.58","240.5","136,597,200"
"09/26/2023","242.98","249.55","241.6601","244.12","101,993,600"
"09/25/2023","243.38","247.1","238.31","246.99","104,636,600"
"09/22/2023","257.4","257.7888","244.48","244.88","127,524,100"
"09/21/2023","257.85","260.86","254.21","255.7","119,951,500"
"09/20/2023","267.04","273.93","262.4606","262.59","122,514,600"
"09/19/2023","264.35","267.85","261.2","266.5","103,704,000"
"09/18/2023","271.16","271.44","263.7601","265.28","101,543,300"
"09/15/2023","277.55","278.98","271","274.39","133,692,300"
"09/14/2023","271.32","276.7094","270.42","276.04","107,709,800"
"09/13/2023","270.07","274.98","268.1","271.3","111,673,700"
"09/12/2023","270.76","278.39","266.6","267.48","135,999,900"
"09/11/2023","264.27","274.85","260.61","273.58","174,667,900"
"09/08/2023","251.22","256.52","246.67","248.5","118,559,600"
"09/07/2023","245.07","252.81","243.265","251.49","115,312,900"
"09/06/2023","255.135","255.39","245.06","251.92","116,959,800"
"09/05/2023","245","258","244.86","256.49","129,469,600"
"09/01/2023","257.26","259.0794","242.01","245.01","132,541,600"
