"series","o","h","l","c","v"
"20120511T","2.166","2.2293","2.144","2.15","18315066"
"20120514T","2.128","2.142","2.0033","2.004","20711120"
"20120515T","2.0173","2.064","1.948","1.962","23782968"
"20120516T","1.972","2.012","1.9253","1.9453","18842751"
"20120517T","1.9533","1.986","1.8827","1.9047","17233761"
"20120518T","1.8913","1.8973","1.7887","1.8373","24247293"
"20120521T","1.8387","1.9507","1.808","1.918","22127539"
"20120522T","2.0067","2.0893","2.0","2.0527","35492532"
"20120523T","2.0373","2.07","1.9667","2.068","18305226"
"20120524T","2.0833","2.0833","1.9793","2.0213","16132792"
"20120525T","2.0107","2.0272","1.9467","1.9873","11355129"
"20120529T","2.0007","2.1287","2.0007","2.1127","24710673"
"20120530T","2.072","2.0947","2.016","2.0273","19607105"
"20120531T","2.0047","2.0193","1.9167","1.9667","16775467"
"20120601T","1.902","1.944","1.8507","1.8767","13285643"
"20120604T","1.8687","1.894","1.8073","1.8587","15462502"
"20120605T","1.856","1.8927","1.8373","1.8607","9463270"
"20120606T","1.88","1.9633","1.876","1.948","13647113"
"20120607T","1.9873","1.9913","1.9233","1.9287","7380221"
"20120608T","1.924","2.0127","1.8765","2.0053","13191128"
"20120611T","2.0207","2.0667","1.9306","1.9413","9529750"
"20120612T","1.9487","1.9893","1.9207","1.9773","8534906"
"20120613T","1.97","2.0427","1.9647","1.9847","12665559"
"20120614T","2.012","2.0433","1.908","1.9593","13082408"
"20120615T","1.9593","1.9967","1.9207","1.994","9698905"
"20120618T","1.996","2.1553","1.9667","2.1227","18851931"
"20120619T","2.1347","2.1773","2.1","2.1393","13662428"
"20120620T","2.2333","2.3","2.214","2.252","51335104"
"20120621T","2.284","2.2853","2.1227","2.146","28336411"
"20120622T","2.1733","2.2653","2.164","2.2523","45146677"
"20120625T","2.2627","2.2747","2.1833","2.2073","22427599"
"20120626T","2.1367","2.1567","2.0927","2.1073","39207715"
"20120627T","2.1267","2.163","2.1047","2.1307","15707902"
"20120628T","2.1267","2.1407","2.0413","2.094","13710593"
"20120629T","2.1867","2.1867","2.0667","2.086","16885552"
"20120702T","2.09","2.12","2.0127","2.0267","19612925"
"20120703T","2.04","2.0667","2.0267","2.044","14206913"
"20120705T","2.054","2.1113","2.0533","2.082","18806481"
"20120706T","2.066","2.1153","2.0533","2.066","11766909"
"20120709T","2.0627","2.122","2.0447","2.0993","13603718"
"20120710T","2.1027","2.1653","2.0593","2.0847","11375274"
"20120711T","2.1047","2.112","2.0673","2.1007","9577735"
"20120712T","2.086","2.2007","2.0533","2.18","16885042"
"20120713T","2.198","2.2933","2.1887","2.2833","19567670"
"20120716T","2.288","2.4","2.26","2.3973","26158607"
"20120717T","2.3333","2.3473","2.1587","2.2233","38538176"
"20120718T","2.0947","2.2447","2.0707","2.1433","43228238"
"20120719T","2.1813","2.21","2.136","2.1513","21538159"
"20120720T","2.138","2.15","2.0833","2.1193","23526978"
"20120723T","2.07","2.0867","2.0413","2.044","20799635"
"20120724T","2.044","2.0693","1.9747","1.9893","22503754"
"20120725T","1.9947","1.9987","1.9167","1.93","42321969"
"20120726T","1.9933","2.0","1.8427","1.8753","33933058"
"20120727T","1.914","1.9773","1.8733","1.9673","25094507"
"20120730T","1.9673","2.0165","1.814","1.8233","30977985"
"20120731T","1.836","1.8647","1.8233","1.828","23625888"
"20120801T","1.866","1.866","1.7353","1.75","23879808"
"20120802T","1.7893","1.79","1.7013","1.74","19575230"
"20120803T","1.7933","1.8367","1.7827","1.818","18142041"
"20120806T","1.8367","1.9133","1.8367","1.8847","22922524"
"20120807T","1.918","2.06","1.9","2.0167","35807742"
"20120808T","1.9933","2.0","1.906","1.9393","19633415"
"20120809T","1.968","2.0","1.942","1.9607","10074115"
"20120810T","1.954","1.996","1.954","1.996","10610845"
"20120813T","1.9793","2.0867","1.9401","2.078","13050743"
"20120814T","2.05","2.078","1.9507","1.9613","11900034"
"20120815T","1.9593","1.98","1.9207","1.96","7880771"
"20120816T","1.9687","2.026","1.9667","2.02","10034590"
"20120817T","2.0193","2.0473","1.9987","2.0007","7621826"
"20120820T","2.01","2.026","1.94","1.9673","17685111"
"20120821T","1.972","2.0","1.9333","1.9407","11422734"
"20120822T","1.934","2.0027","1.934","1.9967","11632344"
"20120823T","2.0","2.0567","1.9767","2.0487","22064599"
"20120824T","2.004","2.016","1.9607","1.9667","21439654"
"20120827T","1.9713","1.98","1.878","1.888","20254865"
"20120828T","1.8933","1.9583","1.8667","1.9127","21039829"
"20120829T","1.8993","1.9093","1.868","1.894","12583239"
"20120830T","1.9067","1.916","1.8733","1.894","9844600"
"20120831T","1.9073","1.9227","1.88","1.9013","8096036"
"20120904T","1.9013","1.9327","1.86","1.876","11287434"
"20120905T","1.8673","1.9","1.854","1.8627","9588400"
"20120906T","1.8667","1.9267","1.86","1.9033","12624639"
"20120907T","1.9033","1.9713","1.9","1.9567","14297258"
"20120910T","1.9467","1.9567","1.8197","1.8247","22245214"
"20120911T","1.8507","1.8773","1.8267","1.8533","15220057"
"20120912T","1.86","1.9053","1.8533","1.8853","16932502"
"20120913T","1.9047","1.9667","1.8987","1.9653","22180279"
"20120914T","2.0","2.0433","1.9767","2.026","23048523"
"20120917T","2.1567","2.1853","2.1007","2.1693","48191091"
"20120918T","2.1253","2.1267","2.0453","2.0893","26827187"
"20120919T","2.0667","2.116","2.0627","2.07","15726847"
"20120920T","2.062","2.1","2.0453","2.06","13685573"
"20120921T","2.0733","2.0993","1.9693","2.0013","28049536"
"20120924T","1.9673","2.0687","1.96","2.044","19521050"
"20120925T","1.908","1.9653","1.8353","1.844","85050977"
"20120926T","1.844","1.8933","1.832","1.836","22907629"
"20120927T","1.8547","1.9027","1.84","1.8993","26372282"
"20120928T","1.9153","1.9927","1.9073","1.952","65140302"
"20121001T","1.9667","1.9927","1.9333","1.944","13264568"
"20121002T","1.952","1.9927","1.9333","1.9867","10934530"
"20121003T","1.9833","1.9967","1.9493","1.9533","15745762"
"20121004T","2.0","2.0067","1.91","1.96","23118093"
"20121005T","1.98","1.9873","1.912","1.926","14075378"
"20121008T","1.924","1.96","1.9074","1.95","13345178"
"20121009T","1.9413","1.9413","1.8833","1.8913","17881371"
"20121010T","1.8927","1.9147","1.8673","1.8933","7553441"
"20121011T","1.9293","1.932","1.8833","1.888","6758562"
"20121012T","1.888","1.9153","1.8333","1.8427","14813018"
"20121015T","1.868","1.87","1.7907","1.822","22029994"
"20121016T","1.8447","1.8727","1.8227","1.8707","7188716"
"20121017T","1.8833","1.9227","1.8533","1.9213","10019440"
"20121018T","1.9327","1.9327","1.852","1.8693","11114199"
"20121019T","1.8553","1.88","1.82","1.8493","15409522"
"20121022T","1.866","1.8667","1.824","1.8567","7052966"
"20121023T","1.8253","1.904","1.8247","1.8927","11234964"
"20121024T","1.9013","1.9013","1.8167","1.828","15245512"
"20121025T","1.8533","1.8533","1.83","1.8347","8665286"
"20121026T","1.8353","1.8533","1.8013","1.8253","7159571"
"20121031T","1.8467","1.89","1.8247","1.8754","11627124"
"20121101T","1.8833","1.966","1.88","1.9497","15360802"
"20121102T","1.9513","1.97","1.9033","1.9279","15453967"
"20121105T","1.9867","2.1053","1.9553","2.1","30731490"
"20121106T","2.0407","2.08","1.9967","2.0767","34856128"
"20121107T","2.0667","2.1367","2.054","2.1027","25717022"
"20121108T","2.0673","2.1253","2.0627","2.0873","19109780"
"20121109T","2.04","2.062","1.99","2.0213","12943914"
"20121112T","2.0193","2.0947","2.0107","2.0713","8338436"
"20121113T","2.086","2.1333","2.048","2.1076","14973938"
"20121114T","2.1307","2.1413","2.0803","2.092","13068218"
"20121115T","2.0867","2.096","2.0333","2.0547","14757608"
"20121116T","2.0767","2.1333","2.0393","2.1227","13629743"
"20121119T","2.138","2.2167","2.1227","2.1947","20882510"
"20121120T","2.1867","2.2067","2.1273","2.2","13836398"
"20121121T","2.174","2.2313","2.1524","2.1647","14446988"
"20121123T","2.1733","2.1887","2.1133","2.142","6453177"
"20121126T","2.14","2.1533","2.108","2.1513","7436081"
"20121127T","2.142","2.1773","2.1013","2.1433","13661543"
"20121128T","2.1333","2.286","2.1273","2.2153","22877974"
"20121129T","2.2293","2.2667","2.1913","2.246","16549717"
"20121130T","2.242","2.2853","2.2007","2.2547","21304249"
"20121203T","2.2593","2.3333","2.2333","2.308","31284569"
"20121204T","2.272","2.32","2.2367","2.26","18948591"
"20121205T","2.2547","2.2793","2.2387","2.2473","9922285"
"20121206T","2.2547","2.32","2.2333","2.26","9858835"
"20121207T","2.2867","2.2993","2.2567","2.278","9965785"
"20121210T","2.2953","2.32","2.2787","2.3047","13946258"
"20121211T","2.3067","2.3667","2.2973","2.352","23584638"
"20121212T","2.3473","2.3867","2.33","2.3507","30955890"
"20121213T","2.3507","2.3533","2.1833","2.2407","32259344"
"20121214T","2.252","2.2933","2.2393","2.254","15341137"
"20121217T","2.2513","2.3","2.25","2.2933","12372129"
"20121218T","2.284","2.338","2.284","2.306","23307528"
"20121219T","2.3167","2.3507","2.3013","2.3073","19042955"
"20121220T","2.3007","2.3192","2.27","2.2953","13817903"
"20121221T","2.2627","2.278","2.2387","2.2667","22384579"
"20121224T","2.2427","2.29","2.2367","2.2853","5636937"
"20121226T","2.264","2.3","2.2333","2.2393","9020755"
"20121227T","2.2333","2.2607","2.2","2.246","8416271"
"20121228T","2.2253","2.2433","2.2013","2.2147","6210522"
"20121231T","2.2","2.2647","2.2","2.258","8922686"
"20130102T","2.3333","2.3633","2.3137","2.3573","17920641"
"20130103T","2.3453","2.3633","2.3167","2.318","11129109"
"20130104T","2.32","2.32","2.2613","2.2933","10109890"
"20130107T","2.32","2.32","2.26","2.2893","6628632"
"20130108T","2.3","2.3","2.2073","2.2453","19256135"
"20130109T","2.2673","2.2793","2.2267","2.2427","10469680"
"20130110T","2.258","2.266","2.2253","2.2353","13836068"
"20130111T","2.2693","2.2693","2.1407","2.194","23444598"
"20130114T","2.2053","2.2253","2.19","2.2173","13875263"
"20130115T","2.2073","2.2833","2.2053","2.26","24357663"
"20130116T","2.2567","2.282","2.2487","2.2733","20672060"
"20130117T","2.2773","2.3233","2.2613","2.292","21549049"
"20130118T","2.316","2.3187","2.2547","2.3013","53326083"
"20130122T","2.304","2.37","2.284","2.346","28801951"
"20130123T","2.3347","2.416","2.3307","2.4","23451768"
"20130124T","2.4","2.5147","2.3893","2.466","29555820"
"20130125T","2.4667","2.5027","2.4533","2.4653","19315535"
"20130128T","2.4573","2.5807","2.4573","2.5353","29788365"
"20130129T","2.54","2.5627","2.4753","2.53","21397534"
"20130130T","2.5233","2.5333","2.4953","2.5013","14521463"
"20130131T","2.5247","2.5247","2.462","2.5007","13519763"
"20130201T","2.5447","2.5667","2.508","2.5533","16505842"
"20130204T","2.56","2.5613","2.506","2.516","16919827"
"20130205T","2.5333","2.5767","2.512","2.542","19652870"
"20130206T","2.5453","2.626","2.527","2.6113","28392706"
"20130207T","2.6127","2.6453","2.5967","2.632","17947806"
"20130208T","2.63","2.6667","2.6093","2.616","17092986"
"20130211T","2.532","2.61","2.5","2.5613","48984696"
"20130212T","2.5633","2.5913","2.486","2.526","33906118"
"20130213T","2.5533","2.6","2.5367","2.5633","14502023"
"20130214T","2.576","2.5833","2.5473","2.5533","14859593"
"20130215T","2.5667","2.5673","2.4633","2.4693","30261720"
"20130219T","2.4907","2.6193","2.4873","2.6187","40508080"
"20130220T","2.62","2.6433","2.564","2.5693","46175542"
"20130221T","2.4327","2.4927","2.3027","2.344","135537082"
"20130222T","2.3813","2.426","2.3733","2.4073","38178326"
"20130225T","2.41","2.45","2.2893","2.292","43338533"
"20130226T","2.2973","2.3307","2.2533","2.2953","41443479"
"20130227T","2.294","2.3607","2.2933","2.34","29386920"
"20130228T","2.3927","2.4067","2.2913","2.322","29473380"
"20130301T","2.3333","2.3387","2.2833","2.31","23195988"
"20130304T","2.318","2.3887","2.3133","2.372","26364887"
"20130305T","2.4","2.4613","2.386","2.4433","31304519"
"20130306T","2.4673","2.5253","2.4647","2.5127","17248866"
"20130307T","2.5153","2.5767","2.4587","2.5487","17373801"
"20130308T","2.5373","2.6293","2.4907","2.5647","13680773"
"20130311T","2.5913","2.6293","2.5767","2.6067","23691588"
"20130312T","2.5933","2.6253","2.59","2.608","19116380"
"20130313T","2.6","2.6327","2.5873","2.5987","12329784"
"20130314T","2.5933","2.594","2.4513","2.4567","30312150"
"20130315T","2.4427","2.4433","2.3473","2.3527","49193630"
"20130318T","2.3533","2.404","2.328","2.3433","19740530"
"20130319T","2.35","2.3733","2.3293","2.3387","16256467"
"20130320T","2.3507","2.4047","2.344","2.3967","21344749"
"20130321T","2.3967","2.4707","2.3827","2.4007","17194296"
"20130322T","2.4133","2.4533","2.4133","2.4413","6638022"
"20130325T","2.4733","2.568","2.4513","2.502","35628252"
"20130326T","2.532","2.548","2.5107","2.524","27083791"
"20130327T","2.5293","2.5587","2.4873","2.544","19444235"
"20130328T","2.5487","2.5493","2.5167","2.526","17379771"
"20130401T","2.824","3.112","2.78","2.9287","211325894"
"20130402T","2.9067","3.0333","2.9007","2.956","99014920"
"20130403T","2.8733","2.898","2.6807","2.74","84648033"
"20130404T","2.7407","2.8167","2.7207","2.8007","33971113"
"20130405T","2.8","2.8","2.7","2.758","23281443"
"20130408T","2.798","2.8367","2.7673","2.7887","25185002"
"20130409T","2.7867","2.7887","2.6887","2.7","25440527"
"20130410T","2.7133","2.8007","2.7073","2.7907","31816304"
"20130411T","2.804","2.97","2.7833","2.906","51695104"
"20130412T","2.8833","3.0093","2.87","2.9167","47240556"
"20130415T","2.9","2.92","2.834","2.8867","25166687"
"20130416T","2.946","3.076","2.9273","3.0393","47705046"
"20130417T","3.0333","3.0633","2.9693","3.03","31776404"
"20130418T","3.0653","3.1733","3.026","3.1313","50518280"
"20130419T","3.164","3.3253","3.138","3.1887","45173017"
"20130422T","3.24","3.3467","3.1833","3.346","59089875"
"20130423T","3.4","3.528","3.3773","3.4007","55998722"
"20130424T","3.3933","3.4033","3.2653","3.362","39448600"
"20130425T","3.3667","3.4933","3.3667","3.4667","41934504"
"20130426T","3.542","3.5827","3.3747","3.4133","54305223"
"20130429T","3.4507","3.666","3.4133","3.6627","54575688"
"20130430T","3.7333","3.8787","3.584","3.5993","82838179"
"20130501T","3.7327","3.7327","3.5333","3.552","41138874"
"20130502T","3.59","3.6847","3.58","3.6073","45685012"
"20130503T","3.7647","3.7647","3.6333","3.6367","50674520"
"20130506T","3.7593","3.9773","3.7","3.9667","65475417"
"20130507T","4.1333","4.158","3.6747","3.7007","149775540"
"20130508T","3.8333","3.88","3.714","3.7191","87584491"
"20130509T","4.6747","5.0513","4.246","4.6267","428274686"
"20130510T","4.6433","5.4","4.6167","5.1176","376080562"
"20130513T","5.3993","5.8667","5.2767","5.8533","335153382"
"20130514T","6.2813","6.4747","5.41","5.5493","556548322"
"20130515T","5.4533","5.792","5.2073","5.6561","249642775"
"20130516T","6.3133","6.3333","5.9107","6.1499","323669388"
"20130517T","6.1667","6.296","5.8333","6.1","284803058"
"20130520T","6.0747","6.1667","5.9087","5.996","124895353"
"20130521T","5.9","5.9993","5.6853","5.8393","134940623"
"20130522T","5.758","6.064","5.7","5.816","128465726"
"20130523T","5.6537","6.2007","5.5367","6.182","180235410"
"20130524T","6.1733","6.53","6.1333","6.472","241169579"
"20130528T","6.77","7.3833","6.6867","7.3556","293941203"
"20130529T","7.57","7.66","6.6","6.9753","375921862"
"20130530T","6.8307","7.3027","6.7467","6.9967","241945679"
"20130531T","7.084","7.096","6.5153","6.5173","227180436"
"20130603T","6.508","6.508","5.8833","6.1727","287009856"
"20130604T","6.1833","6.428","6.16","6.3227","132568344"
"20130605T","6.244","6.5313","5.9407","6.358","183143308"
"20130606T","6.35","6.618","6.3407","6.49","142636129"
"20130607T","6.5333","6.86","6.4467","6.8027","160592620"
"20130610T","6.5953","6.8347","6.5713","6.67","138107031"
"20130611T","6.5453","6.5787","6.27","6.298","110877995"
"20130612T","6.4533","6.6987","6.3833","6.5153","137767386"
"20130613T","6.6","6.6187","6.3413","6.5453","89420100"
"20130614T","6.6667","6.8347","6.622","6.6867","98421671"
"20130617T","6.9067","6.9833","6.7467","6.8133","105954577"
"20130618T","6.7833","6.932","6.6133","6.8927","131898429"
"20130619T","6.804","7.1113","6.8007","6.9787","128674316"
"20130620T","6.9767","7.142","6.63","6.71","151554824"
"20130621T","6.9133","6.9133","6.5","6.6367","175537262"
"20130624T","6.4333","6.858","6.3533","6.766","106728277"
"20130625T","6.8733","6.9467","6.7033","6.8267","87687811"
"20130626T","6.92","7.058","6.844","7.048","98881301"
"20130627T","7.1167","7.35","7.0755","7.2833","131080539"
"20130628T","7.238","7.296","7.114","7.1573","86217002"
"20130701T","7.2907","7.8513","7.2767","7.8119","163242368"
"20130702T","7.8837","8.126","7.7","7.8547","180923760"
"20130703T","7.8667","7.95","7.618","7.6827","72099894"
"20130705T","7.888","8.0187","7.7133","8.006","102228429"
"20130708T","8.0913","8.1453","7.9213","8.1073","117065386"
"20130709T","8.3093","8.3547","8.1273","8.23","128506061"
"20130710T","8.2127","8.2167","8.0527","8.1513","85385537"
"20130711T","8.3253","8.406","8.1567","8.374","112210309"
"20130712T","8.3667","8.6627","8.3007","8.66","170129765"
"20130715T","8.8687","8.8839","8.4547","8.484","148716061"
"20130716T","8.4187","8.4213","7.1533","7.27","484880008"
"20130717T","7.1013","8.108","6.9667","8.0167","389912055"
"20130718T","8.0647","8.182","7.7453","7.9353","170465465"
"20130719T","7.9","8.0367","7.7673","7.9787","88259401"
"20130722T","7.9927","8.4453","7.992","8.162","146957822"
"20130723T","8.2667","8.3707","8.1213","8.1827","116031182"
"20130724T","8.298","8.3","7.9707","8.1133","102998094"
"20130725T","8.0267","8.3167","8.0127","8.2713","79258070"
"20130726T","8.5427","8.712","8.4407","8.626","144408333"
"20130729T","8.6213","9.0247","8.55","8.9747","145171202"
"20130730T","8.9867","9.166","8.5453","8.7827","196798702"
"20130731T","8.838","8.9983","8.7633","8.952","95073822"
"20130801T","9.0","9.1013","8.8421","9.0367","79612325"
"20130802T","8.9727","9.2167","8.9073","9.2","93317338"
"20130805T","9.334","9.6593","9.31","9.6453","152562224"
"20130806T","9.65","9.7153","9.4067","9.4767","138783801"
"20130807T","9.4593","9.4633","8.824","8.9487","267278866"
"20130808T","10.2903","10.592","10.0307","10.232","408503646"
"20130809T","10.16","10.3967","10.0833","10.2","133892873"
"20130812T","9.962","10.0333","9.47","9.8253","223286738"
"20130813T","9.9667","9.9893","9.63","9.6953","130872550"
"20130814T","9.5147","9.656","9.2033","9.2907","175200062"
"20130815T","9.0953","9.5733","9.0","9.3113","152685974"
"20130816T","9.442","9.5938","9.398","9.4667","106406827"
"20130819T","9.5618","9.8253","9.522","9.66","120328470"
