"Date","Open","High","Low","Close","Volume"
"2011-05-24","1.8013","1.8333","1.7733","1.7813","9205090"
"2011-05-25","1.7933","1.9340","1.7447","1.9320","70377850"
"2011-05-26","1.9213","1.9840","1.8733","1.9653","50053340"
"2011-05-27","1.9693","1.9780","1.9213","1.9700","25306022"
"2011-05-31","1.9793","2.0187","1.9700","2.0093","49336640"
"2011-06-01","2.0000","2.0067","1.8920","1.9011","22948429"
"2011-06-02","1.9013","1.9547","1.9007","1.9173","14750858"
"2011-06-03","1.9967","2.1000","1.9667","2.0087","93130963"
"2011-06-06","2.0067","2.0087","1.8840","1.9133","34963738"
"2011-06-07","1.9293","1.9593","1.8840","1.8913","18331476"
"2011-06-08","1.8960","1.9067","1.8013","1.8080","25437527"
"2011-06-09","1.8287","1.8733","1.8067","1.8413","24046788"
"2011-06-10","1.8347","1.8866","1.8233","1.8573","23497968"
"2011-06-13","1.8713","1.9253","1.8587","1.8953","25700867"
"2011-06-14","1.9027","1.9800","1.9013","1.9067","23597988"
"2011-06-15","1.8960","1.8967","1.8047","1.8213","20170160"
"2011-06-16","1.8447","1.8667","1.7160","1.7667","27631846"
"2011-06-17","1.7913","1.8467","1.7427","1.7667","25704962"
"2011-06-20","1.7527","1.7640","1.7000","1.7340","23065623"
"2011-06-21","1.7493","1.8487","1.7333","1.8353","22439434"
"2011-06-22","1.8247","1.8833","1.8067","1.8140","22132984"
"2011-06-23","1.8133","1.8480","1.7473","1.8473","17549841"
"2011-06-24","1.8427","1.8647","1.8173","1.8377","54126843"
"2011-06-27","1.8487","1.8853","1.8207","1.8307","27140491"
"2011-06-28","1.8527","1.8833","1.8447","1.8740","13336973"
"2011-06-29","1.9000","1.9393","1.8713","1.8860","21888109"
"2011-06-30","1.9000","1.9553","1.8933","1.9420","14196503"
"2011-07-01","1.9380","1.9733","1.9200","1.9347","12822579"
"2011-07-05","1.9347","1.9680","1.9140","1.9427","14939828"
"2011-07-06","1.9427","1.9427","1.9033","1.9307","13903328"
"2011-07-07","1.9427","2.0000","1.9340","1.9820","19917305"
"2011-07-08","1.9927","1.9927","1.9060","1.9207","18608691"
"2011-07-11","1.8933","1.9020","1.8667","1.8900","14635538"
"2011-07-12","1.8913","1.9393","1.8667","1.8780","15679582"
